AuditID;TopPerformer;SpecialtyCategory;RevenueThreshold
<class 'int'>;<class 'str'>;<class 'str'>;<class 'decimal.Decimal'>
2175;Andrew Fuller;Beverages;9279.50
2176;Andrew Fuller;Condiments;6967.55
2177;Andrew Fuller;Confections;11774.05
2178;Andrew Fuller;Dairy Products;13682.70
2179;Andrew Fuller;Grains/Cereals;7333.20
2180;Andrew Fuller;Meat/Poultry;12648.05
2181;Andrew Fuller;Seafood;8493.55
2182;Anne Dodsworth;Beverages;6057.30
2183;Anne Dodsworth;Dairy Products;8621.90
2184;Anne Dodsworth;Meat/Poultry;6236.90
2185;Janet Leverling;Beverages;23601.55
2186;Janet Leverling;Condiments;8084.05
2187;Janet Leverling;Confections;19408.69
2188;Janet Leverling;Dairy Products;21452.80
2189;Janet Leverling;Grains/Cereals;18334.95
2190;Janet Leverling;Meat/Poultry;8372.12
2191;Janet Leverling;Seafood;8834.30
2192;Laura Callahan;Beverages;6647.10
2193;Laura Callahan;Condiments;8912.15
2194;Laura Callahan;Confections;11089.75
2195;Laura Callahan;Dairy Products;10139.00
2196;Laura Callahan;Grains/Cereals;5444.10
2197;Laura Callahan;Produce;5562.00
2198;Laura Callahan;Seafood;6997.72
2199;Margaret Peacock;Beverages;28644.15
2200;Margaret Peacock;Condiments;16993.60
2201;Margaret Peacock;Confections;12351.70
2202;Margaret Peacock;Dairy Products;18825.90
2203;Margaret Peacock;Grains/Cereals;11477.25
2204;Margaret Peacock;Meat/Poultry;21709.62
2205;Margaret Peacock;Produce;12647.75
2206;Margaret Peacock;Seafood;16827.73
2207;Michael Suyama;Beverages;5038.50
2208;Michael Suyama;Dairy Products;10009.70
2209;Michael Suyama;Grains/Cereals;7121.60
2210;Michael Suyama;Meat/Poultry;6858.20
2211;Michael Suyama;Produce;6276.70
2212;Nancy Davolio;Beverages;13644.00
2213;Nancy Davolio;Condiments;6947.35
2214;Nancy Davolio;Confections;14998.88
2215;Nancy Davolio;Dairy Products;19833.70
2216;Nancy Davolio;Grains/Cereals;6639.75
2217;Nancy Davolio;Meat/Poultry;8517.30
2218;Nancy Davolio;Produce;14043.00
2219;Nancy Davolio;Seafood;12909.60
2220;Robert King;Beverages;15088.90
2221;Robert King;Confections;11242.80
2222;Robert King;Dairy Products;17144.00
2223;Robert King;Meat/Poultry;7652.94
2224;Robert King;Seafood;5572.50
2225;Steven Buchanan;Meat/Poultry;10641.20
2226;Steven Buchanan;Produce;6381.90
