OrderID;CustomerName;ShipperName;OrderDate;RequiredDate
<class 'int'>;<class 'str'>;<class 'str'>;<class 'str'>;<class 'str'>
10248;Vins et alcools Chevalier;Federal Shipping;1996-07-04 00:00:00;1996-08-01 00:00:00
10249;Toms Spezialitäten;Speedy Express;1996-07-05 00:00:00;1996-08-16 00:00:00
10250;Hanari Carnes;United Package;1996-07-08 00:00:00;1996-08-05 00:00:00
10251;Victuailles en stock;Speedy Express;1996-07-08 00:00:00;1996-08-05 00:00:00
10252;Supremes délices;United Package;1996-07-09 00:00:00;1996-08-06 00:00:00
10253;Hanari Carnes;United Package;1996-07-10 00:00:00;1996-07-24 00:00:00
10254;Chop-suey Chinese;United Package;1996-07-11 00:00:00;1996-08-08 00:00:00
10255;Richter Supermarkt;Federal Shipping;1996-07-12 00:00:00;1996-08-09 00:00:00
10256;Wellington Importadora;United Package;1996-07-15 00:00:00;1996-08-12 00:00:00
10257;HILARION-Abastos;Federal Shipping;1996-07-16 00:00:00;1996-08-13 00:00:00
10258;Ernst Handel;Speedy Express;1996-07-17 00:00:00;1996-08-14 00:00:00
10259;Centro comercial Moctezuma;Federal Shipping;1996-07-18 00:00:00;1996-08-15 00:00:00
10260;Ottilies Käseladen;Speedy Express;1996-07-19 00:00:00;1996-08-16 00:00:00
10261;Que Delícia;United Package;1996-07-19 00:00:00;1996-08-16 00:00:00
10262;Rattlesnake Canyon Grocery;Federal Shipping;1996-07-22 00:00:00;1996-08-19 00:00:00
10263;Ernst Handel;Federal Shipping;1996-07-23 00:00:00;1996-08-20 00:00:00
10264;Folk och fä HB;Federal Shipping;1996-07-24 00:00:00;1996-08-21 00:00:00
10265;Blondesddsl pere et fils;Speedy Express;1996-07-25 00:00:00;1996-08-22 00:00:00
10266;Wartian Herkku;Federal Shipping;1996-07-26 00:00:00;1996-09-06 00:00:00
10267;Frankenversand;Speedy Express;1996-07-29 00:00:00;1996-08-26 00:00:00
10268;GROSELLA-Restaurante;Federal Shipping;1996-07-30 00:00:00;1996-08-27 00:00:00
10269;White Clover Markets;Speedy Express;1996-07-31 00:00:00;1996-08-14 00:00:00
10270;Wartian Herkku;Speedy Express;1996-08-01 00:00:00;1996-08-29 00:00:00
10271;Split Rail Beer & Ale;United Package;1996-08-01 00:00:00;1996-08-29 00:00:00
10272;Rattlesnake Canyon Grocery;United Package;1996-08-02 00:00:00;1996-08-30 00:00:00
10273;QUICK-Stop;Federal Shipping;1996-08-05 00:00:00;1996-09-02 00:00:00
10274;Vins et alcools Chevalier;Speedy Express;1996-08-06 00:00:00;1996-09-03 00:00:00
10275;Magazzini Alimentari Riuniti;Speedy Express;1996-08-07 00:00:00;1996-09-04 00:00:00
10276;Tortuga Restaurante;Federal Shipping;1996-08-08 00:00:00;1996-08-22 00:00:00
10277;Morgenstern Gesundkost;Federal Shipping;1996-08-09 00:00:00;1996-09-06 00:00:00
10278;Berglunds snabbköp;United Package;1996-08-12 00:00:00;1996-09-09 00:00:00
10279;Lehmanns Marktstand;United Package;1996-08-13 00:00:00;1996-09-10 00:00:00
10280;Berglunds snabbköp;Speedy Express;1996-08-14 00:00:00;1996-09-11 00:00:00
10281;Romero y tomillo;Speedy Express;1996-08-14 00:00:00;1996-08-28 00:00:00
10282;Romero y tomillo;Speedy Express;1996-08-15 00:00:00;1996-09-12 00:00:00
10283;LILA-Supermercado;Federal Shipping;1996-08-16 00:00:00;1996-09-13 00:00:00
10284;Lehmanns Marktstand;Speedy Express;1996-08-19 00:00:00;1996-09-16 00:00:00
10285;QUICK-Stop;United Package;1996-08-20 00:00:00;1996-09-17 00:00:00
10286;QUICK-Stop;Federal Shipping;1996-08-21 00:00:00;1996-09-18 00:00:00
