MatrixID;EmployeeName;CategoryName;TotalQuantitySold;TotalRevenue;SnapshotYear
<class 'int'>;<class 'str'>;<class 'str'>;<class 'int'>;<class 'decimal.Decimal'>;<class 'int'>
2103;Andrew Fuller;Beverages;314;9279.50;1997
2104;Andrew Fuller;Condiments;306;6967.55;1997
2105;Andrew Fuller;Confections;387;11774.05;1997
2106;Andrew Fuller;Dairy Products;494;13682.70;1997
2107;Andrew Fuller;Grains/Cereals;420;7333.20;1997
2108;Andrew Fuller;Meat/Poultry;174;12648.05;1997
2109;Andrew Fuller;Produce;135;4780.00;1997
2110;Andrew Fuller;Seafood;374;8493.55;1997
2111;Anne Dodsworth;Beverages;193;6057.30;1997
2112;Anne Dodsworth;Condiments;209;3278.20;1997
2113;Anne Dodsworth;Confections;18;252.00;1997
2114;Anne Dodsworth;Dairy Products;265;8621.90;1997
2115;Anne Dodsworth;Grains/Cereals;34;1025.50;1997
2116;Anne Dodsworth;Meat/Poultry;80;6236.90;1997
2117;Anne Dodsworth;Produce;5;116.25;1997
2118;Anne Dodsworth;Seafood;151;3989.50;1997
2119;Janet Leverling;Beverages;649;23601.55;1997
2120;Janet Leverling;Condiments;422;8084.05;1997
2121;Janet Leverling;Confections;831;19408.69;1997
2122;Janet Leverling;Dairy Products;825;21452.80;1997
2123;Janet Leverling;Grains/Cereals;738;18334.95;1997
2124;Janet Leverling;Meat/Poultry;322;8372.12;1997
2125;Janet Leverling;Produce;101;3700.15;1997
2126;Janet Leverling;Seafood;548;8834.30;1997
2127;Laura Callahan;Beverages;538;6647.10;1997
2128;Laura Callahan;Condiments;361;8912.15;1997
2129;Laura Callahan;Confections;555;11089.75;1997
2130;Laura Callahan;Dairy Products;352;10139.00;1997
2131;Laura Callahan;Grains/Cereals;351;5444.10;1997
2132;Laura Callahan;Meat/Poultry;209;4984.70;1997
2133;Laura Callahan;Produce;187;5562.00;1997
2134;Laura Callahan;Seafood;290;6997.72;1997
2135;Margaret Peacock;Beverages;829;28644.15;1997
2136;Margaret Peacock;Condiments;879;16993.60;1997
2137;Margaret Peacock;Confections;823;12351.70;1997
2138;Margaret Peacock;Dairy Products;630;18825.90;1997
2139;Margaret Peacock;Grains/Cereals;450;11477.25;1997
2140;Margaret Peacock;Meat/Poultry;549;21709.62;1997
2141;Margaret Peacock;Produce;358;12647.75;1997
2142;Margaret Peacock;Seafood;755;16827.73;1997
2143;Michael Suyama;Beverages;366;5038.50;1997
2144;Michael Suyama;Condiments;121;2560.10;1997
2145;Michael Suyama;Confections;231;4201.45;1997
2146;Michael Suyama;Dairy Products;291;10009.70;1997
2147;Michael Suyama;Grains/Cereals;205;7121.60;1997
2148;Michael Suyama;Meat/Poultry;84;6858.20;1997
2149;Michael Suyama;Produce;218;6276.70;1997
2150;Michael Suyama;Seafood;222;3925.75;1997
2151;Nancy Davolio;Beverages;548;13644.00;1997
2152;Nancy Davolio;Condiments;313;6947.35;1997
2153;Nancy Davolio;Confections;679;14998.88;1997
2154;Nancy Davolio;Dairy Products;788;19833.70;1997
2155;Nancy Davolio;Grains/Cereals;286;6639.75;1997
2156;Nancy Davolio;Meat/Poultry;292;8517.30;1997
2157;Nancy Davolio;Produce;304;14043.00;1997
2158;Nancy Davolio;Seafood;667;12909.60;1997
2159;Robert King;Beverages;391;15088.90;1997
2160;Robert King;Condiments;206;4225.60;1997
2161;Robert King;Confections;439;11242.80;1997
2162;Robert King;Dairy Products;543;17144.00;1997
2163;Robert King;Grains/Cereals;69;1551.60;1997
2164;Robert King;Meat/Poultry;147;7652.94;1997
2165;Robert King;Produce;102;4210.80;1997
2166;Robert King;Seafood;395;5572.50;1997
2167;Steven Buchanan;Beverages;168;2423.00;1997
2168;Steven Buchanan;Condiments;78;1710.40;1997
2169;Steven Buchanan;Confections;174;1908.45;1997
2170;Steven Buchanan;Dairy Products;186;4201.10;1997
2171;Steven Buchanan;Grains/Cereals;83;1559.00;1997
2172;Steven Buchanan;Meat/Poultry;332;10641.20;1997
2173;Steven Buchanan;Produce;173;6381.90;1997
2174;Steven Buchanan;Seafood;277;3770.00;1997
