ProductID;ProductName;CategoryName;SupplierName
<class 'int'>;<class 'str'>;<class 'str'>;<class 'str'>
1;Chai;Beverages;Exotic Liquids
2;Chang;Beverages;Exotic Liquids
3;Aniseed Syrup;Condiments;Exotic Liquids
4;Chef Anton's Cajun Seasoning;Condiments;New Orleans Cajun Delights
5;Chef Anton's Gumbo Mix;Condiments;New Orleans Cajun Delights
6;Grandma's Boysenberry Spread;Condiments;Grandma Kelly's Homestead
7;Uncle Bob's Organic Dried Pears;Produce;Grandma Kelly's Homestead
8;Northwoods Cranberry Sauce;Condiments;Grandma Kelly's Homestead
9;Mishi Kobe Niku;Meat/Poultry;Tokyo Traders
10;Ikura;Seafood;Tokyo Traders
11;Queso Cabrales;Dairy Products;Cooperativa de Quesos 'Las Cabras'
12;Queso Manchego La Pastora;Dairy Products;Cooperativa de Quesos 'Las Cabras'
13;Konbu;Seafood;Mayumi's
14;Tofu;Produce;Mayumi's
15;Genen Shouyu;Condiments;Mayumi's
16;Pavlova;Confections;Pavlova, Ltd.
17;Alice Mutton;Meat/Poultry;Pavlova, Ltd.
18;Carnarvon Tigers;Seafood;Pavlova, Ltd.
19;Teatime Chocolate Biscuits;Confections;Specialty Biscuits, Ltd.
20;Sir Rodney's Marmalade;Confections;Specialty Biscuits, Ltd.
21;Sir Rodney's Scones;Confections;Specialty Biscuits, Ltd.
22;Gustaf's KnĂ¤ckebrĂ¶d;Grains/Cereals;PB KnĂ¤ckebrĂ¶d AB
23;TunnbrĂ¶d;Grains/Cereals;PB KnĂ¤ckebrĂ¶d AB
24;GuaranĂˇ FantĂˇstica;Beverages;Refrescos Americanas LTDA
25;NuNuCa NuĂź-Nougat-Creme;Confections;Heli SĂĽĂźwaren GmbH & Co. KG
26;GumbĂ¤r GummibĂ¤rchen;Confections;Heli SĂĽĂźwaren GmbH & Co. KG
27;Schoggi Schokolade;Confections;Heli SĂĽĂźwaren GmbH & Co. KG
28;RĂ¶ssle Sauerkraut;Produce;Plutzer LebensmittelgroĂźmĂ¤rkte AG
29;ThĂĽringer Rostbratwurst;Meat/Poultry;Plutzer LebensmittelgroĂźmĂ¤rkte AG
30;Nord-Ost Matjeshering;Seafood;Nord-Ost-Fisch Handelsgesellschaft mbH
31;Gorgonzola Telino;Dairy Products;Formaggi Fortini s.r.l.
32;Mascarpone Fabioli;Dairy Products;Formaggi Fortini s.r.l.
33;Geitost;Dairy Products;Norske Meierier
34;Sasquatch Ale;Beverages;Bigfoot Breweries
35;Steeleye Stout;Beverages;Bigfoot Breweries
36;Inlagd Sill;Seafood;Svensk SjĂ¶fĂ¶da AB
37;Gravad lax;Seafood;Svensk SjĂ¶fĂ¶da AB
38;CĂ´te de Blaye;Beverages;Aux joyeux ecclĂ©siastiques
39;Chartreuse verte;Beverages;Aux joyeux ecclĂ©siastiques
40;Boston Crab Meat;Seafood;New England Seafood Cannery
41;Jack's New England Clam Chowder;Seafood;New England Seafood Cannery
42;Singaporean Hokkien Fried Mee;Grains/Cereals;Leka Trading
43;Ipoh Coffee;Beverages;Leka Trading
44;Gula Malacca;Condiments;Leka Trading
45;Rogede sild;Seafood;Lyngbysild
46;Spegesild;Seafood;Lyngbysild
47;Zaanse koeken;Confections;Zaanse Snoepfabriek
48;Chocolade;Confections;Zaanse Snoepfabriek
49;Maxilaku;Confections;Karkki Oy
50;Valkoinen suklaa;Confections;Karkki Oy
51;Manjimup Dried Apples;Produce;G'day, Mate
52;Filo Mix;Grains/Cereals;G'day, Mate
53;Perth Pasties;Meat/Poultry;G'day, Mate
54;TourtiĂ¨re;Meat/Poultry;Ma Maison
55;PĂ˘tĂ© chinois;Meat/Poultry;Ma Maison
56;Gnocchi di nonna Alice;Grains/Cereals;Pasta Buttini s.r.l.
57;Ravioli Angelo;Grains/Cereals;Pasta Buttini s.r.l.
58;Escargots de Bourgogne;Seafood;Escargots Nouveaux
59;Raclette Courdavault;Dairy Products;Gai pĂ˘turage
60;Camembert Pierrot;Dairy Products;Gai pĂ˘turage
61;Sirop d'Ă©rable;Condiments;ForĂŞts d'Ă©rables
62;Tarte au sucre;Confections;ForĂŞts d'Ă©rables
63;Vegie-spread;Condiments;Pavlova, Ltd.
64;Wimmers gute SemmelknĂ¶del;Grains/Cereals;Plutzer LebensmittelgroĂźmĂ¤rkte AG
65;Louisiana Fiery Hot Pepper Sauce;Condiments;New Orleans Cajun Delights
66;Louisiana Hot Spiced Okra;Condiments;New Orleans Cajun Delights
67;Laughing Lumberjack Lager;Beverages;Bigfoot Breweries
68;Scottish Longbreads;Confections;Specialty Biscuits, Ltd.
69;Gudbrandsdalsost;Dairy Products;Norske Meierier
70;Outback Lager;Beverages;Pavlova, Ltd.
71;Flotemysost;Dairy Products;Norske Meierier
72;Mozzarella di Giovanni;Dairy Products;Formaggi Fortini s.r.l.
73;RĂ¶d Kaviar;Seafood;Svensk SjĂ¶fĂ¶da AB
74;Longlife Tofu;Produce;Tokyo Traders
75;RhĂ¶nbrĂ¤u Klosterbier;Beverages;Plutzer LebensmittelgroĂźmĂ¤rkte AG
76;LakkalikĂ¶Ă¶ri;Beverages;Karkki Oy
77;Original Frankfurter grĂĽne SoĂźe;Condiments;Plutzer LebensmittelgroĂźmĂ¤rkte AG
