LeaderboardID;ManagerID;ManagerName;TotalTeamRevenue;SubordinateCount;AsOfDate
<class 'int'>;<class 'int'>;<class 'str'>;<class 'decimal.Decimal'>;<class 'int'>;<class 'str'>
2243;9;Anne Dodsworth;82964.00;0;2026-01-28 23:07:02.343000
2244;3;Janet Leverling;213051.30;0;2026-01-28 23:07:02.343000
2245;6;Michael Suyama;78198.10;0;2026-01-28 23:07:02.343000
2246;7;Robert King;141295.99;0;2026-01-28 23:07:02.343000
2247;1;Nancy Davolio;202143.71;0;2026-01-28 23:07:02.343000
2248;4;Margaret Peacock;250187.45;0;2026-01-28 23:07:02.343000
2249;5;Steven Buchanan;378025.84;3;2026-01-28 23:07:02.343000
2250;2;Andrew Fuller;1354458.59;8;2026-01-28 23:07:02.343000
2251;8;Laura Callahan;133301.03;0;2026-01-28 23:07:02.343000
