ShipmentID;OrderID;CustomerName;FreightAmount
<class 'int'>;<class 'int'>;<class 'str'>;<class 'decimal.Decimal'>
1627;10255;Michael Holz;148.33
1628;10258;Roland Mendel;140.51
1629;10263;Roland Mendel;146.06
1630;10267;Peter Franken;208.58
1631;10270;Pirkko Koskitalo;136.54
1632;10277;Alexander Feuer;125.77
1633;10286;Horst Kloss;229.24
1634;10294;Paula Wilson;147.26
1635;10298;Patricia McKenna;168.22
1636;10303;José Pedro Freyre;107.83
1637;10305;Rene Phillips;257.62
1638;10316;Paula Wilson;150.15
1639;10324;Jose Pavarotti;214.27
1640;10329;Art Braunschweiger;191.67
1641;10337;Peter Franken;108.26
1642;10340;Laurence Lebihan;166.31
1643;10343;Renate Messner;110.37
1644;10345;Horst Kloss;249.06
1645;10346;Paula Wilson;142.08
1646;10351;Roland Mendel;162.33
1647;10353;Georg Pipps;360.63
1648;10359;Hari Kumar;288.43
1649;10360;Frédérique Citeaux;131.70
1650;10361;Horst Kloss;183.17
1651;10368;Roland Mendel;101.95
1652;10369;Art Braunschweiger;195.68
1653;10372;Lúcia Carvalho;890.78
1654;10373;Patricia McKenna;124.12
1655;10384;Christina Berglund;168.64
1656;10390;Roland Mendel;126.38
1657;10392;Georg Pipps;122.46
1658;10393;Jose Pavarotti;126.56
1659;10395;Carlos Hernández;184.41
1660;10396;Peter Franken;135.35
1661;10404;Giovanni Rovelli;155.97
1662;10406;Lúcia Carvalho;108.04
1663;10419;Michael Holz;137.35
1664;10424;Jean Fresniere;370.61
1665;10430;Roland Mendel;458.78
1666;10436;Frédérique Citeaux;156.66
1667;10451;Horst Kloss;189.09
1668;10452;Jose Pavarotti;140.26
1669;10455;Pirkko Koskitalo;180.45
1670;10458;Pascale Cartrain;147.06
1671;10461;Carlos González;148.61
1672;10465;Palle Ibsen;145.04
1673;10479;Paula Wilson;708.95
1674;10490;Carlos Hernández;210.19
1675;10499;Carlos González;102.02
1676;10510;Jose Pavarotti;367.63
1677;10511;Laurence Lebihan;350.64
1678;10513;Rita Müller;105.65
1679;10514;Roland Mendel;789.95
1680;10515;Horst Kloss;204.47
1681;10518;Miguel Angel Paolino;218.15
1682;10524;Christina Berglund;244.79
1683;10530;Georg Pipps;339.22
1684;10533;Maria Larsson;188.04
1685;10540;Horst Kloss;1007.64
1686;10546;Mary Saveley;194.72
1687;10547;Hari Kumar;178.43
1688;10549;Horst Kloss;171.24
1689;10553;Pirkko Koskitalo;149.49
