AssignmentID;SourceOrderID;EmpName;Country
<class 'int'>;<class 'int'>;<class 'str'>;<class 'str'>
64;10248;Buchanan;France
65;10249;Suyama;Germany
66;10250;Peacock;Brazil
67;10251;Leverling;France
68;10252;Peacock;Belgium
69;10253;Leverling;Brazil
70;10254;Buchanan;Switzerland
71;10255;Dodsworth;Switzerland
72;10256;Leverling;Brazil
73;10257;Peacock;Venezuela
74;10258;Davolio;Austria
75;10259;Peacock;Mexico
76;10260;Peacock;Germany
77;10261;Peacock;Brazil
78;10262;Callahan;USA
79;10263;Dodsworth;Austria
80;10264;Suyama;Sweden
81;10265;Fuller;France
82;10266;Leverling;Finland
83;10267;Peacock;Germany
84;10268;Callahan;Venezuela
85;10269;Buchanan;USA
86;10270;Davolio;Finland
87;10271;Suyama;USA
88;10272;Suyama;USA
89;10273;Leverling;Germany
90;10274;Suyama;France
91;10275;Davolio;Italy
92;10276;Callahan;Mexico
93;10277;Fuller;Germany
94;10278;Callahan;Sweden
95;10279;Callahan;Germany
96;10280;Fuller;Sweden
97;10281;Peacock;Spain
98;10282;Peacock;Spain
99;10283;Leverling;Venezuela
100;10284;Peacock;Germany
101;10285;Davolio;Germany
102;10286;Callahan;Germany
103;10287;Callahan;Brazil
104;10288;Peacock;Italy
105;10289;King;UK
106;10290;Callahan;Brazil
107;10291;Suyama;Brazil
108;10292;Davolio;Brazil
109;10293;Davolio;Mexico
110;10294;Peacock;USA
111;10295;Fuller;France
112;10296;Suyama;Venezuela
113;10297;Buchanan;France
114;10298;Suyama;Ireland
115;10299;Peacock;Brazil
116;10300;Fuller;Italy
117;10301;Callahan;Germany
118;10302;Peacock;Belgium
119;10303;King;Spain
120;10304;Davolio;Mexico
121;10305;Callahan;USA
122;10306;Davolio;Spain
123;10307;Fuller;USA
124;10308;King;Mexico
125;10309;Leverling;Ireland
126;10310;Callahan;USA
