AuditID;StaffName;TerritoryPath;RegionCode
<class 'int'>;<class 'str'>;<class 'str'>;<class 'str'>
2276;Nancy Davolio;Eastern                                            > Wilton                                            ;Eas
2277;Nancy Davolio;Eastern                                            > Neward                                            ;Eas
2278;Andrew Fuller;Eastern                                            > Westboro                                          ;Eas
2279;Andrew Fuller;Eastern                                            > Bedford                                           ;Eas
2280;Andrew Fuller;Eastern                                            > Georgetow                                         ;Eas
2281;Andrew Fuller;Eastern                                            > Boston                                            ;Eas
2282;Andrew Fuller;Eastern                                            > Cambridge                                         ;Eas
2283;Andrew Fuller;Eastern                                            > Braintree                                         ;Eas
2284;Andrew Fuller;Eastern                                            > Louisville                                        ;Eas
2285;Janet Leverling;Southern                                           > Atlanta                                           ;Sou
2286;Janet Leverling;Southern                                           > Savannah                                          ;Sou
2287;Janet Leverling;Southern                                           > Orlando                                           ;Sou
2288;Janet Leverling;Southern                                           > Tampa                                             ;Sou
2289;Margaret Peacock;Eastern                                            > Rockville                                         ;Eas
2290;Margaret Peacock;Eastern                                            > Greensboro                                        ;Eas
2291;Margaret Peacock;Eastern                                            > Cary                                              ;Eas
2292;Steven Buchanan;Eastern                                            > Providence                                        ;Eas
2293;Steven Buchanan;Eastern                                            > Morristown                                        ;Eas
2294;Steven Buchanan;Eastern                                            > Edison                                            ;Eas
2295;Steven Buchanan;Eastern                                            > New York                                          ;Eas
2296;Steven Buchanan;Eastern                                            > New York                                          ;Eas
2297;Steven Buchanan;Eastern                                            > Mellvile                                          ;Eas
2298;Steven Buchanan;Eastern                                            > Fairport                                          ;Eas
2299;Michael Suyama;Western                                            > Phoenix                                           ;Wes
2300;Michael Suyama;Western                                            > Scottsdale                                        ;Wes
2301;Michael Suyama;Western                                            > Bellevue                                          ;Wes
2302;Michael Suyama;Western                                            > Redmond                                           ;Wes
2303;Michael Suyama;Western                                            > Seattle                                           ;Wes
2304;Robert King;Western                                            > Hoffman Estates                                   ;Wes
2305;Robert King;Western                                            > Chicago                                           ;Wes
2306;Robert King;Western                                            > Denver                                            ;Wes
2307;Robert King;Western                                            > Colorado Springs                                  ;Wes
2308;Robert King;Western                                            > Santa Monica                                      ;Wes
2309;Robert King;Western                                            > Menlo Park                                        ;Wes
2310;Robert King;Western                                            > San Francisco                                     ;Wes
2311;Robert King;Western                                            > Campbell                                          ;Wes
2312;Robert King;Western                                            > Santa Clara                                       ;Wes
2313;Robert King;Western                                            > Santa Cruz                                        ;Wes
2314;Laura Callahan;Northern                                           > Philadelphia                                      ;Nor
2315;Laura Callahan;Northern                                           > Beachwood                                         ;Nor
2316;Laura Callahan;Northern                                           > Findlay                                           ;Nor
2317;Laura Callahan;Northern                                           > Racine                                            ;Nor
2318;Anne Dodsworth;Northern                                           > Hollis                                            ;Nor
2319;Anne Dodsworth;Northern                                           > Portsmouth                                        ;Nor
2320;Anne Dodsworth;Northern                                           > Southfield                                        ;Nor
2321;Anne Dodsworth;Northern                                           > Troy                                              ;Nor
2322;Anne Dodsworth;Northern                                           > Bloomfield Hills                                  ;Nor
2323;Anne Dodsworth;Northern                                           > Roseville                                         ;Nor
2324;Anne Dodsworth;Northern                                           > Minneapolis                                       ;Nor
