OrderID;CustomerID;Freight;ShippingTier;ContactName;Country
<class 'int'>;<class 'str'>;<class 'decimal.Decimal'>;<class 'str'>;<class 'str'>;<class 'str'>
10248;VINET;32.3800;Economy;Paul Henriot;France
10249;TOMSP;11.6100;Economy;Karin Josephs;Germany
10250;HANAR;65.8300;Standard;Mario Pontes;Brazil
10251;VICTE;41.3400;Economy;Mary Saveley;France
10252;SUPRD;51.3000;Standard;Pascale Cartrain;Belgium
10253;HANAR;58.1700;Standard;Mario Pontes;Brazil
10254;CHOPS;22.9800;Economy;Yang Wang;Switzerland
10255;RICSU;148.3300;Premium;Michael Holz;Switzerland
10256;WELLI;13.9700;Economy;Paula Parente;Brazil
10257;HILAA;81.9100;Standard;Carlos Hernández;Venezuela
10258;ERNSH;140.5100;Premium;Roland Mendel;Austria
10259;CENTC;3.2500;Economy;Francisco Chang;Mexico
10260;OTTIK;55.0900;Standard;Henriette Pfalzheim;Germany
10261;QUEDE;3.0500;Economy;Bernardo Batista;Brazil
10262;RATTC;48.2900;Economy;Paula Wilson;USA
10263;ERNSH;146.0600;Premium;Roland Mendel;Austria
10264;FOLKO;3.6700;Economy;Maria Larsson;Sweden
10265;BLONP;55.2800;Standard;Frédérique Citeaux;France
10266;WARTH;25.7300;Economy;Pirkko Koskitalo;Finland
10267;FRANK;208.5800;Premium;Peter Franken;Germany
10268;GROSR;66.2900;Standard;Manuel Pereira;Venezuela
10269;WHITC;4.5600;Economy;Karl Jablonski;USA
10270;WARTH;136.5400;Premium;Pirkko Koskitalo;Finland
10271;SPLIR;4.5400;Economy;Art Braunschweiger;USA
10272;RATTC;98.0300;Standard;Paula Wilson;USA
10273;QUICK;76.0700;Standard;Horst Kloss;Germany
10274;VINET;6.0100;Economy;Paul Henriot;France
10275;MAGAA;26.9300;Economy;Giovanni Rovelli;Italy
10276;TORTU;13.8400;Economy;Miguel Angel Paolino;Mexico
10277;MORGK;125.7700;Premium;Alexander Feuer;Germany
10278;BERGS;92.6900;Standard;Christina Berglund;Sweden
10279;LEHMS;25.8300;Economy;Renate Messner;Germany
10280;BERGS;8.9800;Economy;Christina Berglund;Sweden
10281;ROMEY;2.9400;Economy;Alejandra Camino;Spain
10282;ROMEY;12.6900;Economy;Alejandra Camino;Spain
10283;LILAS;84.8100;Standard;Carlos González;Venezuela
10284;LEHMS;76.5600;Standard;Renate Messner;Germany
10285;QUICK;76.8300;Standard;Horst Kloss;Germany
10286;QUICK;229.2400;Premium;Horst Kloss;Germany
10287;RICAR;12.7600;Economy;Janete Limeira;Brazil
10288;REGGC;7.4500;Economy;Maurizio Moroni;Italy
10289;BSBEV;22.7700;Economy;Victoria Ashworth;UK
10290;COMMI;79.7000;Standard;Pedro Afonso;Brazil
10291;QUEDE;6.4000;Economy;Bernardo Batista;Brazil
10292;TRADH;1.3500;Economy;Anabela Domingues;Brazil
10293;TORTU;21.1800;Economy;Miguel Angel Paolino;Mexico
10294;RATTC;147.2600;Premium;Paula Wilson;USA
10295;VINET;1.1500;Economy;Paul Henriot;France
10296;LILAS;0.1200;Economy;Carlos González;Venezuela
10297;BLONP;5.7400;Economy;Frédérique Citeaux;France
10298;HUNGO;168.2200;Premium;Patricia McKenna;Ireland
10299;RICAR;29.7600;Economy;Janete Limeira;Brazil
10300;MAGAA;17.6800;Economy;Giovanni Rovelli;Italy
10301;WANDK;45.0800;Economy;Rita Müller;Germany
10302;SUPRD;6.2700;Economy;Pascale Cartrain;Belgium
