StaffID;StaffName;SupervisorName;ManagerName;OrgPath
<class 'int'>;<class 'str'>;<class 'str'>;<class 'str'>;<class 'str'>
1;Davolio;Fuller;CEO;CEO > Fuller > Davolio
2;Fuller;N/A;CEO;CEO > N/A > Fuller
3;Leverling;Fuller;CEO;CEO > Fuller > Leverling
4;Peacock;Fuller;CEO;CEO > Fuller > Peacock
5;Buchanan;Fuller;CEO;CEO > Fuller > Buchanan
6;Suyama;Buchanan;Fuller;Fuller > Buchanan > Suyama
7;King;Buchanan;Fuller;Fuller > Buchanan > King
8;Callahan;Fuller;CEO;CEO > Fuller > Callahan
9;Dodsworth;Buchanan;Fuller;Fuller > Buchanan > Dodsworth
