OrderID;EmployeeID;LastName;OrderDate;ShipCountry
<class 'int'>;<class 'int'>;<class 'str'>;<class 'str'>;<class 'str'>
10248;5;Buchanan;1996-07-04 00:00:00;France
10249;6;Suyama;1996-07-05 00:00:00;Germany
10250;4;Peacock;1996-07-08 00:00:00;Brazil
10251;3;Leverling;1996-07-08 00:00:00;France
10252;4;Peacock;1996-07-09 00:00:00;Belgium
10253;3;Leverling;1996-07-10 00:00:00;Brazil
10254;5;Buchanan;1996-07-11 00:00:00;Switzerland
10255;9;Dodsworth;1996-07-12 00:00:00;Switzerland
10256;3;Leverling;1996-07-15 00:00:00;Brazil
10257;4;Peacock;1996-07-16 00:00:00;Venezuela
10258;1;Davolio;1996-07-17 00:00:00;Austria
10259;4;Peacock;1996-07-18 00:00:00;Mexico
10260;4;Peacock;1996-07-19 00:00:00;Germany
10261;4;Peacock;1996-07-19 00:00:00;Brazil
10262;8;Callahan;1996-07-22 00:00:00;USA
10263;9;Dodsworth;1996-07-23 00:00:00;Austria
10264;6;Suyama;1996-07-24 00:00:00;Sweden
10265;2;Fuller;1996-07-25 00:00:00;France
10266;3;Leverling;1996-07-26 00:00:00;Finland
10267;4;Peacock;1996-07-29 00:00:00;Germany
10268;8;Callahan;1996-07-30 00:00:00;Venezuela
10269;5;Buchanan;1996-07-31 00:00:00;USA
10270;1;Davolio;1996-08-01 00:00:00;Finland
10271;6;Suyama;1996-08-01 00:00:00;USA
10272;6;Suyama;1996-08-02 00:00:00;USA
10273;3;Leverling;1996-08-05 00:00:00;Germany
10274;6;Suyama;1996-08-06 00:00:00;France
10275;1;Davolio;1996-08-07 00:00:00;Italy
10276;8;Callahan;1996-08-08 00:00:00;Mexico
10277;2;Fuller;1996-08-09 00:00:00;Germany
10278;8;Callahan;1996-08-12 00:00:00;Sweden
10279;8;Callahan;1996-08-13 00:00:00;Germany
10280;2;Fuller;1996-08-14 00:00:00;Sweden
10281;4;Peacock;1996-08-14 00:00:00;Spain
10282;4;Peacock;1996-08-15 00:00:00;Spain
10283;3;Leverling;1996-08-16 00:00:00;Venezuela
10284;4;Peacock;1996-08-19 00:00:00;Germany
10285;1;Davolio;1996-08-20 00:00:00;Germany
10286;8;Callahan;1996-08-21 00:00:00;Germany
10287;8;Callahan;1996-08-22 00:00:00;Brazil
10288;4;Peacock;1996-08-23 00:00:00;Italy
10289;7;King;1996-08-26 00:00:00;UK
10290;8;Callahan;1996-08-27 00:00:00;Brazil
10291;6;Suyama;1996-08-27 00:00:00;Brazil
10292;1;Davolio;1996-08-28 00:00:00;Brazil
10293;1;Davolio;1996-08-29 00:00:00;Mexico
10294;4;Peacock;1996-08-30 00:00:00;USA
10295;2;Fuller;1996-09-02 00:00:00;France
10296;6;Suyama;1996-09-03 00:00:00;Venezuela
10297;5;Buchanan;1996-09-04 00:00:00;France
10298;6;Suyama;1996-09-05 00:00:00;Ireland
10299;4;Peacock;1996-09-06 00:00:00;Brazil
10300;2;Fuller;1996-09-09 00:00:00;Italy
10301;8;Callahan;1996-09-09 00:00:00;Germany
10302;4;Peacock;1996-09-10 00:00:00;Belgium
10303;7;King;1996-09-11 00:00:00;Spain
10304;1;Davolio;1996-09-12 00:00:00;Mexico
10305;8;Callahan;1996-09-13 00:00:00;USA
