RegionID;RegionDescription;TerritoryID;TerritoryDescription;EmployeeID;StaffName
<class 'int'>;<class 'str'>;<class 'str'>;<class 'str'>;<class 'int'>;<class 'str'>
1;Eastern                                           ;06897;Wilton                                            ;1;Nancy Davolio
1;Eastern                                           ;19713;Neward                                            ;1;Nancy Davolio
1;Eastern                                           ;01581;Westboro                                          ;2;Andrew Fuller
1;Eastern                                           ;01730;Bedford                                           ;2;Andrew Fuller
1;Eastern                                           ;01833;Georgetow                                         ;2;Andrew Fuller
1;Eastern                                           ;02116;Boston                                            ;2;Andrew Fuller
1;Eastern                                           ;02139;Cambridge                                         ;2;Andrew Fuller
1;Eastern                                           ;02184;Braintree                                         ;2;Andrew Fuller
1;Eastern                                           ;40222;Louisville                                        ;2;Andrew Fuller
4;Southern                                          ;30346;Atlanta                                           ;3;Janet Leverling
4;Southern                                          ;31406;Savannah                                          ;3;Janet Leverling
4;Southern                                          ;32859;Orlando                                           ;3;Janet Leverling
4;Southern                                          ;33607;Tampa                                             ;3;Janet Leverling
1;Eastern                                           ;20852;Rockville                                         ;4;Margaret Peacock
1;Eastern                                           ;27403;Greensboro                                        ;4;Margaret Peacock
1;Eastern                                           ;27511;Cary                                              ;4;Margaret Peacock
1;Eastern                                           ;02903;Providence                                        ;5;Steven Buchanan
1;Eastern                                           ;07960;Morristown                                        ;5;Steven Buchanan
1;Eastern                                           ;08837;Edison                                            ;5;Steven Buchanan
1;Eastern                                           ;10019;New York                                          ;5;Steven Buchanan
1;Eastern                                           ;10038;New York                                          ;5;Steven Buchanan
1;Eastern                                           ;11747;Mellvile                                          ;5;Steven Buchanan
1;Eastern                                           ;14450;Fairport                                          ;5;Steven Buchanan
2;Western                                           ;85014;Phoenix                                           ;6;Michael Suyama
2;Western                                           ;85251;Scottsdale                                        ;6;Michael Suyama
2;Western                                           ;98004;Bellevue                                          ;6;Michael Suyama
2;Western                                           ;98052;Redmond                                           ;6;Michael Suyama
2;Western                                           ;98104;Seattle                                           ;6;Michael Suyama
2;Western                                           ;60179;Hoffman Estates                                   ;7;Robert King
2;Western                                           ;60601;Chicago                                           ;7;Robert King
2;Western                                           ;80202;Denver                                            ;7;Robert King
2;Western                                           ;80909;Colorado Springs                                  ;7;Robert King
2;Western                                           ;90405;Santa Monica                                      ;7;Robert King
2;Western                                           ;94025;Menlo Park                                        ;7;Robert King
2;Western                                           ;94105;San Francisco                                     ;7;Robert King
2;Western                                           ;95008;Campbell                                          ;7;Robert King
2;Western                                           ;95054;Santa Clara                                       ;7;Robert King
2;Western                                           ;95060;Santa Cruz                                        ;7;Robert King
3;Northern                                          ;19428;Philadelphia                                      ;8;Laura Callahan
3;Northern                                          ;44122;Beachwood                                         ;8;Laura Callahan
3;Northern                                          ;45839;Findlay                                           ;8;Laura Callahan
3;Northern                                          ;53404;Racine                                            ;8;Laura Callahan
3;Northern                                          ;03049;Hollis                                            ;9;Anne Dodsworth
3;Northern                                          ;03801;Portsmouth                                        ;9;Anne Dodsworth
3;Northern                                          ;48075;Southfield                                        ;9;Anne Dodsworth
3;Northern                                          ;48084;Troy                                              ;9;Anne Dodsworth
3;Northern                                          ;48304;Bloomfield Hills                                  ;9;Anne Dodsworth
3;Northern                                          ;55113;Roseville                                         ;9;Anne Dodsworth
3;Northern                                          ;55439;Minneapolis                                       ;9;Anne Dodsworth
